Pattern 1
0,0,1,0,0,0,0,1,0,0,1
1,0,0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1
0,0,0,1,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,0
1,0,0,1,0,0,0,1,0,0,1

Pattern 2
0,0,1,0,0,1,0,0,0,0,1
1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,1,0
1,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,0,0,1
0,1,0,0,0,1,0,0,1,0,0

Pattern 3
0,0,1,0,0,1,0,0,0,0,1
1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,0,0,1
1,0,0,0,0,1,0,0,1,0,0

Pattern 4
0,0,1,0,0,1,0,0,0,0,1
1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,1,0
1,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0,0,0,1

Pattern 5
0,0,1,0,0,1,0,0,0,0,1
1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1

Pattern 6
0,0,1,0,0,1,0,0,0,1,0
1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,1,0
1,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,0,0,1
0,1,0,0,0,1,0,0,1,0,0

Pattern 7
0,0,1,0,0,1,0,0,0,1,0
1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,0,0,1
1,0,0,0,0,1,0,0,1,0,0

Pattern 8
0,0,1,0,0,1,0,0,0,1,0
1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,1,0
1,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0,0,0,1

Pattern 9
0,0,1,0,0,1,0,0,0,1,0
1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,1,0
0,1,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1

Pattern 10
0,1,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,1
0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,1
0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0
1,0,0,1,0,0,1,0,0,0,1

Pattern 11
0,1,0,0,0,1,0,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0
0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0
0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,0,1

Pattern 12
0,1,0,0,0,1,0,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0
0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,1,0

Pattern 13
0,1,0,0,0,1,0,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0
0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0
1,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,1,0,0,0,0,1

Pattern 14
0,1,0,0,0,1,0,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0
0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,1,0,0,0,1,0

Pattern 15
0,1,0,0,0,1,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0
0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0
0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,0,1

Pattern 16
0,1,0,0,0,1,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0
0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,1,0

Pattern 17
0,1,0,0,0,1,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0
0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0
1,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,1,0,0,0,0,1

Pattern 18
0,1,0,0,0,1,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0
0,0,1,0,0,0,0,1,0,0,0
